,index,symboling,wheel-base,length,width,height,curb-weight,engine-size,compression-ratio,city-mpg,highway-mpg,normalized-losses,make_alfa-romero,make_audi,make_bmw,make_chevrolet,make_dodge,make_honda,make_isuzu,make_jaguar,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,fuel-type_diesel,fuel-type_gas,aspiration_std,aspiration_turbo,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,num-of-cylinders_eight,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_three,num-of-cylinders_twelve,num-of-cylinders_two,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,bore,stroke,horsepower,peak-rpm,price,price-bins
10,11,0,101.2,176.8,64.8,54.3,2395,108,8.8,23,29,192.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.5,2.8,101.0,5800.0,16925.0,low
11,12,0,101.2,176.8,64.8,54.3,2710,164,9.0,21,28,188.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.31,3.19,121.0,4250.0,20970.0,medium
12,13,0,101.2,176.8,64.8,54.3,2765,164,9.0,21,28,188.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.31,3.19,121.0,4250.0,21105.0,medium
13,14,1,103.5,189.0,66.9,55.7,3055,164,9.0,20,25,122.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.31,3.19,121.0,4250.0,24565.0,medium
14,15,0,103.5,189.0,66.9,55.7,3230,209,8.0,16,22,122.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.62,3.39,182.0,5400.0,30760.0,medium
15,16,0,103.5,193.8,67.9,53.7,3380,209,8.0,16,22,122.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.62,3.39,182.0,5400.0,41315.0,high
16,17,0,110.0,197.0,70.9,56.3,3505,209,8.0,15,20,122.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.62,3.39,182.0,5400.0,36880.0,high
17,18,2,88.4,141.1,60.3,53.2,1488,61,9.5,47,53,121.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.91,3.03,48.0,5100.0,5151.0,low
18,19,1,94.5,155.9,63.6,52.0,1874,90,9.6,38,43,98.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.03,3.11,70.0,5400.0,6295.0,low
19,20,0,94.5,158.8,63.6,52.0,1909,90,9.6,38,43,81.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.03,3.11,70.0,5400.0,6575.0,low
20,21,1,93.7,157.3,63.8,50.8,1876,90,9.41,37,41,118.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.97,3.23,68.0,5500.0,5572.0,low
21,22,1,93.7,157.3,63.8,50.8,1876,90,9.4,31,38,118.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.97,3.23,68.0,5500.0,6377.0,low
22,23,1,93.7,157.3,63.8,50.8,2128,98,7.6,24,30,118.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.03,3.39,102.0,5500.0,7957.0,low
23,24,1,93.7,157.3,63.8,50.6,1967,90,9.4,31,38,148.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.97,3.23,68.0,5500.0,6229.0,low
24,25,1,93.7,157.3,63.8,50.6,1989,90,9.4,31,38,148.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.97,3.23,68.0,5500.0,6692.0,low
25,26,1,93.7,157.3,63.8,50.6,1989,90,9.4,31,38,148.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.97,3.23,68.0,5500.0,7609.0,low
26,27,1,93.7,157.3,63.8,50.6,2191,98,7.6,24,30,148.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.03,3.39,102.0,5500.0,8558.0,low
27,28,-1,103.3,174.6,64.6,59.8,2535,122,8.5,24,30,110.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.34,3.46,88.0,5000.0,8921.0,low
28,29,3,95.9,173.2,66.3,50.2,2811,156,7.0,19,24,145.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.6,3.9,145.0,5000.0,12964.0,low
29,30,2,86.6,144.6,63.9,50.8,1713,92,9.6,49,54,137.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.91,3.41,58.0,4800.0,6479.0,low
30,31,2,86.6,144.6,63.9,50.8,1819,92,9.2,31,38,137.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.91,3.41,76.0,6000.0,6855.0,low
31,32,1,93.7,150.0,64.0,52.6,1837,79,10.1,38,42,101.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.91,3.07,60.0,5500.0,5399.0,low
32,33,1,93.7,150.0,64.0,52.6,1940,92,9.2,30,34,101.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.91,3.41,76.0,6000.0,6529.0,low
33,34,1,93.7,150.0,64.0,52.6,1956,92,9.2,30,34,101.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.91,3.41,76.0,6000.0,7129.0,low
34,35,0,96.5,163.4,64.0,54.5,2010,92,9.2,30,34,110.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.91,3.41,76.0,6000.0,7295.0,low
35,36,0,96.5,157.1,63.9,58.3,2024,92,9.2,30,34,78.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.92,3.41,76.0,6000.0,7295.0,low
36,37,0,96.5,167.5,65.2,53.3,2236,110,9.0,27,33,106.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.15,3.58,86.0,5800.0,7895.0,low
37,38,0,96.5,167.5,65.2,53.3,2289,110,9.0,27,33,106.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.15,3.58,86.0,5800.0,9095.0,low
38,39,0,96.5,175.4,65.2,54.1,2304,110,9.0,27,33,85.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.15,3.58,86.0,5800.0,8845.0,low
39,40,0,96.5,175.4,62.5,54.1,2372,110,9.0,27,33,85.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.15,3.58,86.0,5800.0,10295.0,low
40,41,0,96.5,175.4,65.2,54.1,2465,110,9.0,24,28,85.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.15,3.58,101.0,5800.0,12945.0,low
41,42,1,96.5,169.1,66.0,51.0,2293,110,9.1,25,31,107.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.15,3.58,100.0,5500.0,10345.0,low
42,43,0,94.3,170.7,61.8,53.5,2337,111,8.5,24,29,122.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.31,3.23,78.0,4800.0,6785.0,low
43,46,2,96.0,172.6,65.2,51.4,2734,119,9.2,24,29,122.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.43,3.23,90.0,5000.0,11048.0,low
44,47,0,113.0,199.6,69.6,52.8,4066,258,8.1,15,19,145.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.63,4.17,176.0,4750.0,32250.0,high
45,48,0,113.0,199.6,69.6,52.8,4066,258,8.1,15,19,122.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.63,4.17,176.0,4750.0,35550.0,high
46,49,0,102.0,191.7,70.6,47.8,3950,326,11.5,13,17,122.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.54,2.76,262.0,5000.0,36000.0,high
47,50,1,93.1,159.1,64.2,54.1,1890,91,9.0,30,31,104.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.03,3.15,68.0,5000.0,5195.0,low
48,51,1,93.1,159.1,64.2,54.1,1900,91,9.0,31,38,104.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.03,3.15,68.0,5000.0,6095.0,low
49,52,1,93.1,159.1,64.2,54.1,1905,91,9.0,31,38,104.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.03,3.15,68.0,5000.0,6795.0,low
50,53,1,93.1,166.8,64.2,54.1,1945,91,9.0,31,38,113.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.03,3.15,68.0,5000.0,6695.0,low
51,54,1,93.1,166.8,64.2,54.1,1950,91,9.0,31,38,113.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.08,3.15,68.0,5000.0,7395.0,low
52,55,3,95.3,169.0,65.7,49.6,2380,70,9.4,17,23,150.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.0,3.0,101.0,6000.0,10945.0,low
53,56,3,95.3,169.0,65.7,49.6,2380,70,9.4,17,23,150.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.0,3.0,101.0,6000.0,11845.0,low
54,57,3,95.3,169.0,65.7,49.6,2385,70,9.4,17,23,150.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.0,3.0,101.0,6000.0,13645.0,low
55,58,3,95.3,169.0,65.7,49.6,2500,80,9.4,16,23,150.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3.0,3.0,135.0,6000.0,15645.0,low
56,59,1,98.8,177.8,66.5,53.7,2385,122,8.6,26,32,129.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.39,3.39,84.0,4800.0,8845.0,low
57,60,0,98.8,177.8,66.5,55.5,2410,122,8.6,26,32,115.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.39,3.39,84.0,4800.0,8495.0,low
58,61,1,98.8,177.8,66.5,53.7,2385,122,8.6,26,32,129.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.39,3.39,84.0,4800.0,10595.0,low
59,62,0,98.8,177.8,66.5,55.5,2410,122,8.6,26,32,115.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.39,3.39,84.0,4800.0,10245.0,low
60,63,0,98.8,177.8,66.5,55.5,2443,122,22.7,36,42,122.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.39,3.39,64.0,4650.0,10795.0,low
61,64,0,98.8,177.8,66.5,55.5,2425,122,8.6,26,32,115.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.39,3.39,84.0,4800.0,11245.0,low
62,65,0,104.9,175.0,66.1,54.4,2670,140,8.0,19,27,118.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.76,3.16,120.0,5000.0,18280.0,low
63,66,0,104.9,175.0,66.1,54.4,2700,134,22.0,31,39,122.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.43,3.64,72.0,4200.0,18344.0,low
64,67,-1,110.0,190.9,70.3,56.5,3515,183,21.5,22,25,93.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.58,3.64,123.0,4350.0,25552.0,medium
65,68,-1,110.0,190.9,70.3,58.7,3750,183,21.5,22,25,93.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.58,3.64,123.0,4350.0,28248.0,medium
66,69,0,106.7,187.5,70.3,54.9,3495,183,21.5,22,25,93.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.58,3.64,123.0,4350.0,28176.0,medium
67,70,-1,115.6,202.6,71.7,56.3,3770,183,21.5,22,25,93.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.58,3.64,123.0,4350.0,31600.0,medium
68,71,-1,115.6,202.6,71.7,56.5,3740,234,8.3,16,18,122.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.46,3.1,155.0,4750.0,34184.0,high
69,72,3,96.6,180.3,70.5,50.8,3685,234,8.3,16,18,142.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.46,3.1,155.0,4750.0,35056.0,high
